random_state,n_estimators,max_depth,R2,RMSE,MAE
4,200,500,0.9146835287966439,0.0792216337750508,0.050406452758672005
4,300,10,0.8947977355596097,0.08797107446923844,0.056285329369760925
4,300,50,0.9153768342497415,0.07889908861370788,0.050345508021217567
4,300,100,0.9153768342497415,0.07889908861370788,0.05034550802121756
4,300,200,0.9153768342497415,0.07889908861370788,0.050345508021217567
4,300,500,0.9153768342497415,0.07889908861370788,0.050345508021217567
4,500,10,0.8959781000404061,0.08747616667465895,0.05613959926903697
4,500,50,0.9164005712107436,0.07842039174679417,0.05017032109048873
4,500,100,0.9164005712107436,0.07842039174679417,0.05017032109048873
4,500,200,0.9164005712107436,0.07842039174679417,0.05017032109048873
4,500,500,0.9164005712107436,0.07842039174679419,0.05017032109048873
4,1000,10,0.8957588036089297,0.08756832568851668,0.05617554746726035
4,1000,50,0.9160475152013582,0.07858580926761596,0.05032308863552994
4,1000,100,0.9160475152013582,0.07858580926761596,0.05032308863552995
4,1000,200,0.9160475152013582,0.07858580926761596,0.05032308863552995
4,1000,500,0.9160475152013582,0.07858580926761596,0.05032308863552994
42,100,10,0.9192099178999664,0.07829606957191304,0.05063966482521148
42,100,50,0.9303529436021786,0.07269630203302721,0.0460878391479043
42,100,100,0.9303529436021786,0.0726963020330272,0.0460878391479043
42,100,200,0.9303529436021786,0.07269630203302721,0.04608783914790429
42,100,500,0.9303529436021786,0.0726963020330272,0.04608783914790429
42,200,10,0.919015506999991,0.07839021765758478,0.05045469886231224
42,200,50,0.9313931750397768,0.07215137253153929,0.0457385440602864
42,200,100,0.9313931750397768,0.07215137253153929,0.0457385440602864
42,200,200,0.9313931750397768,0.07215137253153929,0.0457385440602864
42,200,500,0.9313931750397768,0.07215137253153929,0.0457385440602864
42,300,10,0.9188258581489565,0.07848195078269561,0.050545711212895666
42,300,50,0.9315926513375897,0.07204640509162197,0.045579605500018154
42,300,100,0.9315926513375897,0.07204640509162197,0.04557960550001815
42,300,200,0.9315926513375897,0.07204640509162197,0.045579605500018154
42,300,500,0.9315926513375897,0.07204640509162197,0.04557960550001815
42,500,10,0.9189416419693682,0.07842595892050729,0.050560920586031725
42,500,50,0.9312209395737302,0.07224188273685223,0.0457698060389719
42,500,100,0.9312209395737302,0.07224188273685223,0.0457698060389719
42,500,200,0.9312209395737302,0.07224188273685224,0.0457698060389719
42,500,500,0.9312209395737302,0.07224188273685223,0.0457698060389719
42,1000,10,0.9188271780903479,0.07848131269774591,0.05061606953305396
42,1000,50,0.9310523123360303,0.07233038708325605,0.04585086742116512
42,1000,100,0.9310523123360303,0.07233038708325605,0.04585086742116512
42,1000,200,0.9310523123360303,0.07233038708325605,0.04585086742116512
42,1000,500,0.9310523123360303,0.07233038708325605,0.04585086742116512
